code,i_date,time,open,high,low,close,vol,amount
SH600602,661536000,1990-12-19,365.7,384.0,365.7,384.0,116000,443000
SH600602,661622400,1990-12-20,403.2,403.2,403.2,403.2,14900,60000
SH600602,661708800,1990-12-21,400.0,423.4,400.0,423.4,1100,5000
SH600602,661968000,1990-12-24,423.4,444.6,423.4,444.6,1100,4000
SH600602,662054400,1990-12-25,466.8,466.8,466.8,466.8,300,1000
SH600602,662140800,1990-12-26,490.2,490.2,490.2,490.2,9400,46000
SH600602,662227200,1990-12-27,490.2,490.2,490.2,490.2,0,0
SH600602,662313600,1990-12-28,495.1,495.1,495.1,495.1,3000,14000
SH600602,662572800,1990-12-31,500.1,500.1,500.1,500.1,2000,10000
