code,i_date,time,open,high,low,close,vol,amount
SH600654,661536000,1990-12-19,323.5,323.5,323.5,323.5,0,0
SH600654,661622400,1990-12-20,323.5,323.5,323.5,323.5,0,0
SH600654,661708800,1990-12-21,339.7,339.7,339.7,339.7,300,1000
SH600654,661968000,1990-12-24,356.7,356.7,356.7,356.7,100,0
SH600654,662054400,1990-12-25,374.6,374.6,374.6,374.6,100,0
SH600654,662140800,1990-12-26,374.6,374.6,374.6,374.6,0,0
SH600654,662227200,1990-12-27,374.6,374.6,374.6,374.6,0,0
SH600654,662313600,1990-12-28,378.3,378.3,378.3,378.3,2800,10000
SH600654,662572800,1990-12-31,382.1,382.1,382.1,382.1,2000,7000
