code,i_date,time,open,high,low,close,vol,amount
SH600652,661536000,1990-12-19,193.0,193.0,193.0,193.0,0,0
SH600652,661622400,1990-12-20,193.0,193.0,193.0,193.0,200,1000
SH600652,661708800,1990-12-21,193.0,193.0,193.0,193.0,0,0
SH600652,661968000,1990-12-24,202.7,202.7,202.7,202.7,0,0
SH600652,662054400,1990-12-25,202.7,202.7,202.7,202.7,0,0
SH600652,662140800,1990-12-26,202.7,202.7,202.7,202.7,0,0
SH600652,662227200,1990-12-27,202.7,202.7,202.7,202.7,0,0
SH600652,662313600,1990-12-28,204.7,204.7,204.7,204.7,500,4000
SH600652,662572800,1990-12-31,206.7,206.7,206.7,206.7,500,4000
