code,i_date,time,open,high,low,close,vol,amount
SH600651,661536000,1990-12-19,320.3,320.3,320.3,320.3,0,0
SH600651,661622400,1990-12-20,320.3,320.3,320.3,320.3,0,0
SH600651,661708800,1990-12-21,336.3,336.3,336.3,336.3,100,1000
SH600651,661968000,1990-12-24,336.3,353.2,336.3,353.2,1700,23000
SH600651,662054400,1990-12-25,370.9,370.9,370.9,370.9,0,0
SH600651,662140800,1990-12-26,389.5,389.5,389.5,389.5,400,6000
SH600651,662227200,1990-12-27,393.4,393.4,393.4,393.4,6600,104000
SH600651,662313600,1990-12-28,397.3,397.3,397.3,397.3,3000,48000
SH600651,662572800,1990-12-31,401.3,401.3,401.3,401.3,1000,16000
