code,i_date,time,open,high,low,close,vol,amount
SH000001,661536000,1990-12-19,96.05,99.98,95.79,99.98,126000,494311
SH000001,661622400,1990-12-20,104.3,104.39,99.98,104.39,19700,84992
SH000001,661708800,1990-12-21,109.07,109.13,103.73,109.13,2800,16096
SH000001,661968000,1990-12-24,113.57,114.55,109.13,114.55,3200,31063
SH000001,662054400,1990-12-25,120.09,120.25,114.55,120.25,1500,6510
SH000001,662140800,1990-12-26,125.27,125.27,120.25,125.27,10000,53730
SH000001,662227200,1990-12-27,125.27,125.28,125.27,125.28,6600,104644
SH000001,662313600,1990-12-28,126.39,126.45,125.28,126.45,10800,88031
SH000001,662572800,1990-12-31,126.56,127.61,126.48,127.61,7800,60030
